time, Quad.IMU.AX
1.159998,0.445707
1.164998,-0.065481
1.169999,0.034367
1.174999,-1.032398
1.179999,0.370803
1.184999,-1.709057
1.190000,0.211405
1.195000,0.447721
1.200000,0.642432
1.205000,-1.398426
1.210001,-0.692388
1.215001,0.277001
1.220001,-0.227591
1.225001,-0.450047
1.230001,0.412902
1.235002,-0.508814
1.240002,0.051893
1.245002,-0.785182
1.250002,0.036603
1.255003,-0.227685
1.260003,0.567606
1.265003,0.099226
1.270003,1.061162
1.275004,0.284827
1.280004,0.231118
1.285004,-1.086414
1.290004,-0.142210
1.295004,-0.505053
1.300005,-0.605232
1.305005,-0.207449
1.310005,0.397047
1.315005,-0.485405
1.320006,0.033707
1.325006,-0.940838
1.330006,1.478278
1.335006,-0.009399
1.340007,0.052489
1.345007,-0.287540
1.350007,0.668236
1.355007,-0.662671
1.360008,-0.319616
1.365008,-0.192909
1.370008,0.383910
1.375008,-0.285427
1.380008,-0.493920
1.385009,0.589544
1.390009,0.619356
1.395009,-0.774012
1.400009,-0.595199
1.405010,-0.014381
1.410010,0.706009
1.415010,0.256644
1.420010,-0.380789
1.425011,0.147270
1.430011,0.896963
1.435011,0.405618
1.440011,-0.438333
1.445011,-0.546168
1.450012,0.697239
1.455012,0.017974
1.460012,-0.551034
1.465012,0.114885
1.470013,-0.133026
1.475013,0.060951
1.480013,0.877618
1.485013,1.086479
1.490014,0.811034
1.495014,0.312057
1.500014,-0.373798
1.505014,0.175423
1.510015,-0.089411
1.515015,-0.732846
1.520015,-0.087275
1.525015,0.208913
1.530015,0.295889
1.535016,-0.383622
1.540016,0.161035
1.545016,0.244595
1.550016,0.291488
1.555017,0.228803
1.560017,0.122795
1.565017,0.686807
1.570017,-0.584961
1.575018,0.134209
1.580018,0.173727
1.585018,0.062278
1.590018,-0.273172
1.595019,0.474263
1.600019,0.395987
1.605019,0.255694
1.610019,-0.248710
1.615019,-0.202039
1.620020,-0.477745
1.625020,0.459126
1.630020,0.090294
1.635020,0.468470
1.640021,-0.209554
1.645021,-0.397769
1.650021,-0.162635
1.655021,-0.690185
1.660022,-0.685285
1.665022,0.178988
1.670022,0.430051
1.675022,0.192412
1.680022,1.386555
1.685023,0.476891
1.690023,0.441439
1.695023,0.204211
1.700023,0.065733
1.705024,0.412280
1.710024,1.029051
1.715024,0.399582
